axis,axis_value,mean_cagr,median_cagr,std_cagr,mean_ir,mean_2022,mean_2023_plus
holdings_count,12.0,0.21134680562624555,0.21134949928567925,0.011305307289587133,0.15406897035442427,-0.08894249349717066,0.3685283079186185
holdings_count,16.0,0.20096408595045145,0.201400122193105,0.004467471916237849,0.11997307504955941,-0.12536262525166167,0.3311179726581375
holdings_count,20.0,0.19930054422765514,0.19863235779649657,0.0014183552128246221,0.10290000447658987,-0.12641911922473828,0.31938632718656174
single_name_cap,0.07,0.19960138187390275,0.20004923178782663,0.004240382119936643,0.1021390901002964,-0.11045719914872809,0.3316911981325131
single_name_cap,0.08,0.2051261272622119,0.201400122193105,0.008543888039272737,0.1329257657738243,-0.11446706213741877,0.3419942799809977
single_name_cap,0.09,0.2068839266682375,0.201400122193105,0.010831085105084032,0.14187719400645285,-0.11579997668742378,0.345347129649807
sector_cap,0.25,0.20480454202415488,0.20025549951013355,0.009157529410479997,0.12887250405537634,-0.11336222531832478,0.3413464691447898
sector_cap,0.3,0.20480454202415488,0.20025549951013355,0.009157529410479997,0.12887250405537634,-0.11336222531832478,0.3413464691447898
sector_cap,0.35,0.20200235175604234,0.2006512227719619,0.008070190462167882,0.11919704176982088,-0.11399978733692107,0.3363396694737383
hold_bonus,0.05,0.20790783176385633,0.2065160318099839,0.010361856188407742,0.14089063390758488,-0.1167393993644052,0.35172941943906433
hold_bonus,0.1,0.20107999888239322,0.19857862958786043,0.0063957849624544675,0.1150521950059353,-0.11390762017122469,0.3364706055716495
hold_bonus,0.15,0.20262360515810254,0.20025549951013355,0.007961332312432816,0.12099922096705339,-0.11007721843794076,0.330832582752604
